text,actual_sentiment,predicted_sentiment,positive_probability
"We all know that some of the greatest movies of all time were based on books. While not particularly accurate adaptations, these movies were nonetheless excellent films. Some great examples are the Harry Potter series, the Lord of the Rings trilogy, and, to a lesser extent, almost every Disney film ever made. However, I must regretfully announce that A Wrinkle in Time is not one of those movies. Not only does it fail to meet some of the most basic expectations of Madeleine L'Engle's fan base, it manages to defy the standards of scriptwriting, acting, special effects and, ultimately, respect for the audience. Mind you, I'm not trying to be mean; on the contrary, I went into this affair with an open mind. I figured that a made-for-T.V. movie would make up for its lack of razzle-dazzle in its script. After all, the Star Wars spin-off Ewoks was decent, if a little silly. Come to think of it, the original Star Wars was made on ""a lunch money budget"", and look where it took George Lucas! However, from the first scene onward, disappointment started enveloping me as if I'd gotten too close to the Black Thing while tessering. <br /><br />The same way Greedo shooting first became the symbol of the Star Wars Special Edition of 1997 (a disaster of monumental proportions involving a disgruntled director making several hideous changes to a beloved classic), Mrs. Whatsit has officially become my personal symbol for the confusion and stupidity that is A Wrinkle in Time. The reason for this is the fact that she has been mutated beyond belief. Aside from the slightly controversial decision of casting Alfre Woodard (Star Trek: First Contact and Radio) as our favorite star-turned-mentor, the filmmakers decided it appropriate to introduce her as a crow. That's right, a crow. Moreover, the heavenly centaurion form of this greatly beloved character has been hacked at by what looks to be a demented eight-year-old; the majestic half-man, half-horse with wings has become a huge human head with a creepy smile mounted awkwardly on the bowlegged body of a horse that happens to be sporting a pair of wings in the middle. Had I been five, this would have psychologically traumatized me for life. The worst part is the fact that when it spoke, it was shown from behind so as to avoid the responsibility to lip sync, resulting in a scene that was spent looking at the back of its head and seeing a single, unmoving cheek, thus rendering the piece of special effects less believable than E.T.<br /><br />Having gotten the most painful part out of the way, I must go on to the tear-inducing one: the characters, the acting, and the story. I, personally, had always imagined Meg to look somewhat similar to Moaning Myrtle from the Harry Potter films: plain hair, glasses, and a figure most supermodels would find laughable. She was always a slightly anxious, humorously pessimistic math genius who quite simply could not have cared less about the imports and exports of Nicaragua. In the film, she is an unpleasant know-it-all for whom I have no sympathy whatsoever. In fact, she makes me feel sorry for poor Mr. Jenkins, her school principal, who continuously has to deal with her. Calvin, the kind, intelligent kid who everyone thinks is a jock has becomea jock! The irony is horrible. As for the memorable Happy Medium, they took the pleasant old woman who liked to look at happy things and replaced her with a being who is ""above gender"" and likes to look at ""funny"" things, such as girls falling off of swings. The only three people I can think of who did a decent job are Charles Wallace, Mrs. Whatsit and the Man With Red Eyes (nicknamed ""the Dude With Red Eyes"" due to his complete reinvention as a character).<br /><br />The story is a mess. A good comparison to this aspect of the movie is Harry Potter and the Prisoner of Azkaban, which didn't do a good job of retelling the story found in the book, yet kept the sole of the original work. Here, the sole of the book is having a pleasant chat with Hades down in the underworld, apparently unaware that its body is being destroyed. As the Dark Lord complements the sole on how well it showed that truth has to be felt and not seen, the flat-nosed wookies of Ixchel (who replace the wondrous beings who hold Aunt Beast among their ranks) tear the spine up. As the God of the Dead notes how subtle the terror of the Earth-like Camazotz was, the torn pages are scattered in the sandstorm and lost in the darkness of the land of evil. <br /><br />I am very sorry that this film exists. I do not believe that the actors were genuinely bad. It's the way the characters are written that ruins it. A Wrinkle in Time deserved to be adapted by Lawrence Kasdan, directed by George Lucas or Steven Spielberg, enhanced at Industrial Light and Magic, scored by John Williams, given its sound at Skywalker Sound, edited by THX and marketed by Twentieth Century Fox. In its current state, the film is unworthy to be shown to self-respecting people. Even Madeleine L'Engle thought it was bad. The book was Good, the film was Bad, and Mrs. Whatsit was Ugly.<br /><br />Score: 0.1/10 (If I could) <br /><br />Pros:<br /><br />They got the names right. <br /><br />Cons: <br /><br />It had horrible problems with the Cliffs Notes level of adaptation, script, acting and special effects, not to mention lack of evidence of ever having read the book. Oh, and the main cover/poster has a picture of the three main characters riding a flying horse over a castle. Some might say that this symbolizes high adventure. I say it symbolizes the irresponsibility of the cover artist who didn't even bother to Photoshop Meg's arm on properly.",Negative,Positive,0.5540821
"I was drawn to this movie the moment I saw a preview of it on Oscar night. When I read about Kay Pollak, I was hooked. We Americans are suckers for a comeback kid.<br /><br />I understand this movie was a huge draw in Sweden. As a very provincial American I can only speculate on the reason. Perhaps it is because of the provocative joke that the Lena character makes at the beginning of the movie and other social comment but perhaps it is because of the central message which I believe has the same appeal everywhere in affluent societies.<br /><br />The message of this movie for me is the same as the movie Titanic. Life is short people and as far as anyone really knows it's all we've got. It can be taken away at any time. So isn't it a pity that we spend so much time hiding behind walls separating us from other people because we're so afraid of being hurt? Tearing down the walls is painful but feeling alive lies on the other side of those wretched walls. Feeling alive is worth taking the risk. Give and you will receive. So start living NOW.<br /><br />Many people are criticizing this movie for it's lack of characterization and other flaws. I say you are all pseudo-sophisticated. Get a grip folks, it's a parable, a fable for we affluent westerners who are materially rich but whose souls are in abject poverty.<br /><br />So join a choir or a band or help build housing or distribute food for those less fortunate than you. Spread some joy and make the world a better place as long as you get out and commune with your fellow man. Writing a check is not enough. We are a social species by the way. Even the humblest of your fellow human beings can affect you in ways you never thought possible.<br /><br />Rugged individualism has its place but it is over-rated.",Positive,Negative,0.2797361
"I used to always love the bill because of its great script and characters, but lately i feel as though it has turned into an emotional type of soap. If you look at promotional pictures/posters of the bill now you will see either two of the officers hugging/kissing or something to do with friendships whereas promotional pictures of the bill a long time ago would have shown something to do with crime. This proves that it has changed a lot from being an absolutely amazing Police drama to an average type of television soap. When i watch it i feel like I'm watching a police version of Coronation Street or something similar. I have to say i still like the bill as I'm interested in Police work and that type of thing but i really miss the greatness that The Bill used to have. I want to rate it as 2 out of ten because you have to admit it has been totally ruined by the people who took the bill over.<br /><br />As for the script and characters they have both gone downhill, most of the great characters are gone now (although a few still remain i think) and I'm not saying that the newer characters are poor or anything because they definitely aren't, its just that they lack the tough looks, personalities and script lines that all of the old characters used to have because most of the new ones are at the moment involved with silly relationships and family trouble.<br /><br />Overall being one of the only Police programs on television these days, The Bill will always be a crappily interesting thing to watch, but like i say it has lost a lot of its uniqueness (if thats the right spelling) and would now be classed as a terrible, unreal television soap.<br /><br />Recommended to watch for a good laugh over the stupidity of the police officers involved - 2/10",Negative,Positive,0.97000825
"There are many kinds of reunion shows. One kind is where old actors are taken out of mothballs and set to recreate characters they haven't played for twenty or thirty years. These have mixed results. `Return to Mayberry', despite some silliness, was okay; `Return to Green Acres' as execrable (Eddie Albert used a word for the script I won't repeat here, but both it and the movie stink); `Rescue from Gilligan's Island' filled in a necessary gap in the story of the castaways, though the show itself was silly even from a `Gilligan's Island' viewpoint. In most cases, the scripts are weak; sometimes a silliness appears in the scripts that is too knowing  and in comedy it's nearly always fatal for the characters to know they're being funny. New characters are introduced who don't fit the mix. In the main, these reunion shows are pretty weak. A second sort of `reunion' show is the kind where the cast lays its past aside but sits around, telling stories, reminiscing, interspersed with flashbacks from the shows. Then there are movies based on the shows, which are rarely good; and movies based on the history of the show (`The Brady Bunch' has had both of these happen to it, with various results).<br /><br />`Return to the Batcave' uses nearly all the above, with a wonderfully twisted viewpoint, which makes it the best of the reunion shows, and has raised the bar for the others.<br /><br />Adam West and Burt Ward and summoned to a showing of the original Batmobile. While they are there, the car is stolen. <br /><br />The Adam West of the movie is a man demented. He called Jerry, his butler, `Alfred'. He opens a bust of Shakespeare in his apartment and reveals a hidden pole to slide down to the parking garage. He's obsessed with being a crime fighter, when in fact he's merely a washed up actor. When the Batmobile is stolen he not only believes it's his duty as a crime fighter to recover it, he drags and unwilling Burt Ward in as his assistant.<br /><br />The pursuit is largely loquacious, with West and Ward reminiscing about the old days. It is broken by `flashbacks' with actors playing West and Ward in the old days. The modern scenes and the `flashbacks' both have the wacky lack of reality the show maintained. There are also running gags that show West is able to make fun of himself: in Ward's book about his time on the show, he spoke frankly about West's libido and also his being a skinflint (West makes Ward pay for everything in their pursuit, down to tips and bus fare). The clues they follow, the characters they meet (even in flashback) all fit the mentality of the old series, and there are several homages, including a fist fight with written sound effects.<br /><br />The whole thing is extremely funny and done with great panache. There are also cameos by Julie Newmar (looking like she's had one facelift too many) and Frank Gorshin, reminding us why he has such a cult following. Gorshin will be the Riddler when Jim Carey, his obvious successor, is long forgotten. The movie builds to a fairly obvious but funny climax.<br /><br />This show is a model for reunion shows  unfortunately, there are few that can fit the pattern. This show had actors replaying their old characters; young actors playing a movie about the making of the show; the actors West and Ward reminiscing; and a modern-day movie with the real Adam West playing the demented Adam West. It has everything. If you loved the old show, this is the stopper on the bottle.",Positive,Negative,0.023654249
"""The big goodbye"" introduces us to the first holodeck adventure, in this case Captain Picard posing as private investigator Dixon Hill. This episodes creates some sort of standard pattern, repeated several times on TNG as well as DS 9 and Voyager. After entering the holodeck something goes wrong and the characters have to deal with the program under different circumstances beyond playing a game (represented by the failure of the holodeck's safety program). <br /><br />This concept is used to expand Star Trek's possibility and enabling a kind of genre-mix. Picard's Dixon Hill stories are examples of 1940s crime fiction and their representation on the screen are referred to as Film Noir often having the stereotype antihero in the lead (see for example Chandler's Marlowe stories or Polanski's all time classic ""Chinatown""). Star Trek never focuses on the story (mostly it's a simple ""how-do-we-get-out-of-here"" scenario) but enables the actors to take a different approach to their characters. Those Holodeck ""games"" are commonly used for recreation and reflect the private interests of the crew members. Therefore the technical aspect is always neglected and from that point of view the stories are never sound (but did Star Trek ever had a technical, scientific point to it, I mean besides some utopic concepts?).<br /><br />""The big goodbye"" shows a relaxed Patrick Stewart, a McFadden that hardly ever looked better in a Star Trek episode (at least the early ones) and Data has some great scenes, too (although I find it hard to believe that pulling the lamp's plug out of the wall would have really surprised him, for the fact that he'd done research on that period and its customs). Wesley continues turning peaceful Trekkies into potential murderers (why didn't they take him to the holodeck and let the gangsters finish him off?) but all in all this one's fun...",Positive,Negative,0.08300999
"I was worried that my daughter might get the wrong idea. I think the ""Dark-Heart"" character is a little on the rough side and I don't like the way he shape-shifts into a ""mean"" frog, fox, boy I was wrong, This movie was made for my kid, not for me. She ""gets it"" when it went over (under?) my head. Of course I don't ""get it"". This isn't one of the NEW kids movies that adults will ALSO enjoy. This is straight for the young ones, and the crew knew what they were doing. There isn't any political junk ether. There's no magic key that will save the world from ourselves, nobody has the right to access excess, and everyone isn't happy all the time. And as a side benefit, nobody DIES! russwill.",Positive,Negative,0.11278939
"Despite the gravity of the subject and probably the good intentions of the filmmakers to make a film addressing white supremacy, the inconsistencies of its main character, Bronson Green, aspiring New York actor easily turned L.A. phony, makes it hard to take the story seriously. Green, who is constantly rejected by Los Angeles casting agents for being obsolete (i.e. too New York when the 80s is looking for big, blonde, and dumb), he finds success comes easily when he's willing to succumb to falsifying his image. Unfortunately, the new hair dye and pacified ""surfer"" attitude lands him an acting opportunity with the Jericho Church, which subscribes white supremacist teaching of the Aryan nation. Green is willing to easily forget his past, and particularly turning his back on his young black friend of ten years, in order to be the Church's new spokesman. This makes no sense, seeing as how principled our character initially is. It is this sudden, and loose change in character, coupled with an abrupt reversion back to the hardened, DeNiro-obsessed (as his Taxi Driver character) form who is able to battle the villains. A noble attempt on the filmmakers, but one that ultimately reveals itself as anything but serious.<br /><br />The other characters, too, are quite annoying and what we are forced to recognize in them comes too easily -- the psychotic paranoia of the Church leader, the self-interested actress girlfriend (the first girlfriend Bronson has when he's in L.A.), and the new blonde girlfriend who's character lacks so much development, she is, for the most part, just a walking, talking void. We are just supposed to see them in fleeting moments in which something random forces us to draw assumptions about the characters. But there is really little development of any of them.<br /><br />The other problem with this film is the ungodly amount of time the characters are involved in very little important action. Much of the beginning concerns introducing the characters, obviously, and later we see Bronson's difficulties with breaking into the L.A. acting scene and the frustrations which stem from constant rejection. But after he does willingly change his looks and personality in order to become accepted, there is at least a good twenty minutes to thirty minutes of wasted film in which very little of anything happens.<br /><br />For films that seek to draw attention to the irrational fears behind racism, this was not one done with enough credibility.",Negative,Positive,0.95713806
"David Mackenzie's follow-up to the brilliant Young Adam wants to be a feel-good underdog story of a lonely voyeur who is trying to confront some psycho-sexual issues with his dead mother. It wants to be gritty, realistic, and mysterious. At the same time, it wants to be funny and nonjudgmental of its disturbed lead as he establishes himself as an adult.<br /><br />To meet this end, the film tries hard to be youthful. Its poster has hand-drawn letters looking like that of Juno. Its original soundtrack is comprised of fast-paced indie rock which tries to convince the audience that Hallam is OK; just a little misguided. But strangely the film is anything but youthful.<br /><br />Like Young Adam this film's central mystery concerns a drowned woman- in this case Hallam's mother. Young Adam keeps its mystery quiet, contemplative, and paced well enough to hit you with the truths as they come. Hallam Foe does the opposite. It foregrounds its character's psychosis so clearly and so early that he never really does anything outside his expected parameters. The opening scene is Hallam in his treehouse watching his sister fooling around with her boyfriend. Hallam swiftly interrupts, asserting his presence in the household. Here we see everything that Hallam will do for the rest of the movie.<br /><br />The mystery surrounding his mother's drowning is whether it was suicide or murder by his father's girlfriend. The audience can never really trust Hallam because, besides being creepy, we think his obsession has led him close to insanity. This hindered the mystery element for me because Hallam is too sporadic to be relatable. Right when he's found some clues that would support his claim he runs away from home, at first it appearing to be looking for the police. Then he gets extremely sidetracked by a girl who resembles his mother, which frustratingly leads the story away from the mystery element.<br /><br />While Jamie Bell does bring out some very endearing traits in his lost character, he was limited by the obviousness of his psychological needs. This movie is in no way mysterious, yet it is not blunt either. It tries to be realistic in dealing with such issues, but it adds a very self-conscious spunk which registers itself as quite the opposite. It goes for a soundtrack-heavy, Trainspotting attitude to help the audience root for a protagonist who scales buildings, picks locks, and camps out for the sake of voyeurism. These urban peeping tom adventures Hallam engages in are way too difficult for an inward-drawn country boy to engage in and they are not sexy, giddy, or pleasant. They are more neutral than anything; not propelling the character or story. Mackenzie makes you understand Hallam, yet he fails to build common ground.<br /><br />He expects you to enjoy Hallam's trials and tribulations without much ideological justification. The film hinges on its audience's perspective on voyeurism/the kind of person who engages in it. Obviously, most people would be disgusted by it. And Hallam Foe realizes that, but it does not let us see Hallam weigh the morality of his decisions. He goes from person to person, trying to fill his deep void. There is a particularly disturbing line from Hallam's love interest Kate where she drunkenly says ""I love creepy boys,"" perhaps asking the audience to do the same. The line tries to foreshadow her understanding of him (her motivation remains vague throughout) and tries to further us from judging him. It's not hard to like Hallam, but it is very hard to participate in his adventure- if it is even an adventure at all. All the while, the film tries to use its flamboyant soundtrack to mask its indecisive mood.<br /><br />Great performances are weighed down by a film with a weak third act, muddy development, and needlessly ambiguous direction from Mackenzie. Recently this film was re-named for a US release, and for what reason? Not only is it more unappealing, but the hard truth is that the Hallam character never earns the title 'mister.'",Negative,Positive,0.9683359
"Hitchcock was of the opinion that audiences aren't really interested in what puts protagonists into danger - only that they ARE in danger, and need to escape.<br /><br />This film proves Hitchcock was not 100% correct. Police believe Jean Simmons is guilty of a crime, when she plainly isn't. Trevor Howard decides their best course of action is to run for it. And so, the body of the movie has our charismatic pair dodging on and off trains, buses and coaches - jumping across rocks at the top of a waterfall - scrambling across dockyard roofs.<br /><br />All good exciting stuff - but I couldn't get out of my mind that it was all unnecessary. They should have stayed put.<br /><br />In other words, the MacGuffin wasn't strong enough.",Positive,Negative,0.18402672
"On the face of it, Ruiz has set out to make a psychological thriller. Although it's not as satisfying as a classic piece in that genre, there are compensations. The tensions generated between Huppert and Balibar as women calmly but calculatingly at war over a boy they both claim are compelling; however, in a true European art-house style, Ruiz doesn't give us release of this tension as the women alternately also try to behave compassionately towards each other. The only raised voice is that of Huppert's waking from a nightmare (an uncontested irrational event in the film).<br /><br />In fact, if we follow the title, the film is as little about its thriller skeleton as Jane Campion's In The Cut. Instead it is an intergender psychological study focusing on men. The boy, Camille (Nils Hugon), decides on a practical joke, playing his mother off against an emotionally vulnerable other woman. Both women seem to pander to him rather than scold and this compounds the problem. In the background is an intemperate psychologist (Charles Berling), swift to confront the women in his life - his sister Huppert, the nanny or his pa - and so acting as a symbolic adult counterbalance to the, calm and (we learn) manipulative Camille. It is particularly interesting that, like the father in Henry James' The Turn of The Screw, Denis Podalydes' law-enforcer Father is absent for the duration of the film. Ruiz fashions an Oedipal moment out of Huppert's reaction to his return at the film's close.<br /><br />Read either as a thriller or as a psychiatric essay, this film is ultimately rather disappointing. I'm officially rather fed up with Mme Huppert's screen method, which is too buried and so I'll be looking to see her on stage before I come back to her (European - enjoyed Heaven's Gate) films again. The support is good. Ruiz does the cast no favours though. Quite apart from some poor lighting and some wilfully odd shots, its as if his direction has left characterisation quite out of reach - I'm thinking particularly of Edith Scob's Shamanic neighbour to Isabelle, who acts knowing but communicates bafflement. The set pieces do not link up to a forward driving plot - the tension I have already referred to is not only weakly dissipated but wasted in its directional potential.<br /><br />Want to see a good contemporary French thriller? Go and see L'Appartement instead. 4/10",Negative,Positive,0.837813
"THE JIST: See something else.<br /><br />This film was highly rated by Gene Siskel, but after watching it I can't figure out why. The film is definitely original and different. It even has interesting dialogue at times, some cool moments, and a creepy ""noir"" feel. But it just isn't entertaining. It also doesn't make a whole lot of sense, in plot but especially in character motivations. I don't know anyone that behaves like these characters do.<br /><br />This is a difficult movie to take on -- I suggest you don't accept the challenge.",Positive,Negative,0.29929247
"Ah, clichés, clichés, clichés; They're a main part of a wide variety of horror films.This one, has a lot of them.Still, it's Stephen King, one of the best masters of horror. This movie was really good, just TOO predictable. And what horror movie doesn't have stupid people? This one is overcrowded with retarded victims just practically begging for their life to be taken. Pet Semetary I found to be creepy a little. The way everything is set up was REALLY spooky, but not terrifying. For the most part, the acting was SOMEWHAT believable, the suspense wasn't that suspenseful, but the entertainment level is set at a major rank; My eyes were practically glued to the screen.All Stephen King fans must see this movie, but as for anyone else, expect an OKAY thriller.",Positive,Negative,0.044884585
"Oh my, I think this may be the single cheesiest movie I've ever seen. I'm serious, this is one of the ultimate b-movies. The first proof is that it isn't a $5 DVD. Oh no, that's too mainstream for this. I got this on VHS, from a bin full of ex-rental videos at my local video store.<br /><br />If I may quote the blurb: ""In 17th Century Japan, there lived a samurai who would set the standard for the ages. His name was Mayeda. He is sent on an epic journey across the world to acquire 5,000 muscats from the King of Spain. Whilst at sea a violent storm swallows their precious gold intended to buy the weapons and almost takes their lives. Mayeda must battle all odds to survive and the secure the fate of his beloved Japan."" It then goes on to say ""A multi million dollar action adventure epic set across three continents""<br /><br />I must have seen a different movie. This was no epic, and it certainly wasn't a multi million dollar anything. No, 'Shogun Mayeda' is really just the crazy adventures of the Engrish-speaking Mayeda (Sho Kosugi). He isn't even a Shogun really, but thats not important. What is important, is that he does a really cool impression of John Cleese's repeated charging of the one castle in 'Monty Python and the Holy Grail', and his ability to go from serious scenes to showing off his samurai mind powers. Awesome.<br /><br />The greatest thing about this movie is Sho Kosugi's Engrish accent. The movie may lack nearly everything that makes a good movie, but makes up for it with some of the cheesiest lines ever, delivered by the coolest Engrish accent ever. And honestly, do you really want anything else? You could fast forward 'Shogun Mayeda' to the end, and replay Kosugi's final line over and over. The tape will probably wear out before you get tired of that one line. Awesome.<br /><br />2/10 - So very very cheesy.",Negative,Positive,0.9020185
"Yes, this was pure unbelievable condescending babble. We know that the French often have a skewed idea of the USA, it's puritanism and views towards sex. As an American (Hoosier) who lives in France, I have ample opportunity to observe these attitudes. And while some of these preconceived notions may be true, NOT ONE ELEMENT of the midwestern town portrayed in this film rang real. A man who has never had sex because he was told in high school 20 years prior that his penis is too big? Where in the world would you find that? A juke box in a bar that plays only vintage bluegrass? A town with maybe 16 people less than two hours away from Chicago, but with no major gas station, no Tvs in the home, no McDonalds, no kids... A population that knows each other's intimate details yet relentlessly gets together like one big family that hates each other. The adult males plant whoopee cushions at the local cafe, have farms but don't harvest, kill the guy they don't like in front of everyone and seem to get away with it, and all with equal emotion? The liberated French girl who will screw the 17 year old virgin boy because of her sexual generosity, the too much flesh guy who goes from getting off in cornfields by the mere breath of an Illinois breeze to helping deflower this same 17 year old farm boy? HELP! I am so baffled and astounded by the absurdity of this film that I am not expressing clearly how ridiculous it is. Go see it for the A-to-Z primer on what to avoid. Gosh, I hope I didn't ruin it for you!",Negative,Positive,0.6619319
"I know that originally, this film was NOT a box office hit, but in light of recent Hollywood releases (most of which have been decidedly formula-ridden, plot less, pointless, ""save-the-blonde-chick-no-matter-what"" drivel), Feast of All Saints, certainly in this sorry context deserves a second opinion. The film--like the book--loses anchoring in some of the historical background, but it depicts a uniquely American dilemma set against the uniquely horrific American institution of human enslavement, and some of its tragic (and funny, and touching) consequences.<br /><br />And worthy of singling out is the youthful Robert Ri'chard, cast as the leading figure, Marcel, whose idealistic enthusiasm is truly universal as he sets out in the beginning of his 'coming of age,' only to be cruelly disappointed at what turns out to become his true education in the ways of the Southern plantation world of Louisiana, at the apex of the antebellum period. When I saw the previews featuring the (dreaded) blond-haired Ri'chard, I expected a buffoon, a fop, a caricature--I was pleasantly surprised.<br /><br />Ossie Davis, Ruby Dee, the late Ben Vereen, Pam Grier, Victoria Rowell and even Jasmine Guy lend vivid imagery and formidable skill as actors in the backdrop tapestry of placage, voodoo, Creole ""aristocracy,"" and Haitian revolt woven into this tale of human passion, hate, love, family, and racial perplexity in a society which is supposedly gone and yet somehow is still with us.",Positive,Negative,0.47047123
"Let this film serve as the death knell to the ""big twist"" films borne out of the 1990s. Known in some circles as The Kyser Soze Syndrome, this cinematic slight of hand has now been done to death by M. Night Shayamalan and even Ron Howard used a variation in A BEAUTIFUL MIND. However, in REVOLVER, director Guy Ritchie (known in some circles as ""Mr. Madonna""), utilizes the Soze motif in a far more obsequious manner. <br /><br />Jason Statham (with a highly questionable head of hair) stars as Jack Green (known to all as ""Mr. Green."") He may or may not also be criminal mastermind Mr. Gold. Or, perhaps Mr. Gold is an irritable spirit who can possess members of the underworld. I'm not quite certain, but I certainly don't care. REVOLVER is one of the most overwrought examples of cinematic excess I've had the displeasure to endure in quite a long time. Witness the fractured time structure, the painful jump cuts, the ceaseless inner-monologues, and the painfully pretentious animated sequence. This ""everything and the kitchen sink"" directing style makes Quentin Tarantino's oeuvre look sedate. The cinematic smoke and mirrors only lead me to believe that Ritchie was as bored telling this trite tale as I was watching it.<br /><br />The film is filled with moments of revelation that are supposedly shocking but they only come as news to Mr. Green. I wanted to like Green as I always enjoy Stratham as a character who is two steps ahead of everyone else. Here, though, he struggles along like a remedial reader in a University English Literature class. His lack of wit is only matched by the lack of restraint shown by his nemesis, Macha (Ray Liotta). Feasting on scenery like a starving man at a smorgasbord, Liotta spits, cries, and fumes through the film in an embarrassing display of overacting and leopard print speedos. <br /><br />There are no redeeming qualities to REVOLVER. It's yet another filmic faux pas from Ritchie and might even outdo his wretched remake of SWEPT AWAY as his worst film yet.",Negative,Positive,0.57698053
"This time around, Blackadder is no longer royal(or even particularly close to being any such thing)... instead, rather a butler to the Prince Regent, portrayed by Hugh Laurie(who replaces Tim McInnerny, who presence is sorely missed, and that hole is never filled... his character had an innocent charm... while he was a bumbling and complete moron, we can't help but care for him, which isn't at all true of his replacement) as being intolerably daft(which he apparently was, according to the Trivia page), not to mention loud-mouthed and utterly non-threatening. Edmund can now do just about what he pleases, and does so. Why is he so frustrated and angry(honestly, it gets depressing at times)? Yes, his master is a buffoon, they always are. He doesn't seem to lack money, nor is he in any danger. In the second series, the Queen was mischievous and childish, and would cut off someone's head - or marry them - on a whim. Here there is simply never enough at stake for any of the conflict to be exciting and interesting. There is still commentary and even a little satire. Too often, it seems as if they thought that the history was funny enough on its own, so they merely restate it, not bothering to actually turn the facts into jokes or gags. And I can't tell you how many of them I figured out before they were done, literally more than a minute away. It's not usually a positive when you know the punchline before it is delivered. Baldrick doesn't change from last season... he's still rather pathetic and stupid, leading to ""silly"" humor. Frankly, the amount goes through the roof. Don't get me started on the gross-out stuff. The sarcastic, verbal wit can still be great, though much less of it is than before. I'd say about half of the episodes were rather amusing and downright funny, while the other three didn't really get me into them at all. I was disappointed in how predictable some of the plots and developments thereof were... I could see many of such coming a mile away. Some of the material tries way too hard to be funny and winds up coming across as incredibly forced. This continues with the tradition started by ""II"" of letting the plans work out occasionally. The theme is the worst of the bunch, the credits sequences the least creative. All in all, this is, by far, my least favorite of the four. I recommend it to fans of the franchise and of British comedy in general. 7/10",Positive,Negative,0.32449865
"This movie is not as good as all the movies of Christ I've ever seen. And I'm quite amazed that in this story Pilate wants to finish Jesus, when the Scriptures (as well the other movies) state differently. It lacks also a very important issue: The Resurrection.. None of the other movies skip this very important part: the faith of all of us Christians lies in this very event. As Paul says in one of his letters ""If Christ did not rise from the dead, our faith is vain"". A very impressive scene for me in this movie was seeing on the streets the remains of the palms that were used when Jesus entered Jerusalem. <br /><br />Finally, and in opposition to my Jewish co-commentator, Jesus WAS NOT a myth. And as a matter of fact, he was also a JEW. There are plenty of documents (relgious and secular) that prove the existence of this extraordinary man(or should I said, God become a man) that indeed changed mankind. I strongly advise him(given he is a historian) to read about Flavius Josephus, the most brilliant Jewish commentator of the 1st. Century.",Negative,Positive,0.96212655
"This is a kind of genre thing, meaning you either like the 1950s musicals or you don't. If you do, you'll love this. Personally, I prefer the 1930s and most of the '40s musicals with the dancing talents of Astaire and Rogers, and Eleanor Powell, Bill Robinson, Ruby Keeler, James Cagney, Shirley Temple and so forth but the songs of the '50s, the slower dance numbers and the soapy melodramas of the decade all turn me off.<br /><br />This film is a case-in-point. The first song was okay but the next three did nothing for me. By then, the story didn't have much appeal, either. The presence of Deborah Kerr is another minus. I don't think I've seen a movie she starred in that I liked, including this one, where the goody two-shoes English teacher she portrays spends half the movie threatening to leave Siam. (I which she had!). <br /><br />However, divorcing myself from likes-and-dislikes, there is no denying this Rogers and Hammerstein production has a lot of appeal to many folks, particularly those who liked ""The Sound Of Music"" a decade later. There are similarities in the R&H musicals. Thus, if you liked the Julie Andrews flick, you should like this, too. <br /><br />This is a Lavish production with, yes, a capital ""L."" This is the kind of big-production musicals you rarely saw after that generation. You also get the dubbed singers, unlike today, where the actress isn't able to really sing so Marnie Nixon comes to rescue of Kerr, as she did with Natalie Wood in ""West Side Story"" and Audrey Hepburn in ""My Fair Lady."" <br /><br />Yul Brynner is ""King Mongkut"" and is the stereotypical traditionalist, the kind filmmakers always portray in a negative way. He isn't ""progressive,"" as the left wingers like the say, but the education teacher (Kerr, as ""Anna Leonowens"") will set him straight. Secular-progressives of today always place teachers higher than people trying to cure cancer! However, Yul is good in this role and even employs some comedy along with his more-bark-than-bite character. Justifiably, he is the big star of this film. Brynner had magnetism. Even in ""The Magnificent Seven,"" Yul was the one cowboy who mesmerized the audience.<br /><br />In summary, it's a fine movie for its day and millions of people enjoyed it. I'll leave it at that.",Negative,Positive,0.9505138
"Stewart is a distinguished bachelor and a successful executive who is about to marry his fiancée Janice Rule but instead gets involved with a capricious, sensual art dealer (Kim Novak) who turns out to be a Greenwich Village witch Novak desires earnestly and intensely to love, but is unable to feel it...<br /><br />Stewart slowly falls in love with her, and looks for a way to free her from her witch-spell... Novak resents his well-intentioned concern, as does her Siamese cat, Pyewacket... Still, Stewart continues in his attempts to change her into a loving, feeling woman as he aspires to marry her...<br /><br />Also blocking his way are such talented supporting actors as Novak's brother (Jack Lemmon), a silly, charming sorcerer who can walk nonchalantly through walls; a terrible author who is writing a book about witchcraft; and the Head of the Association of Manhattan Witches, none other than the incredible Hermione Gingold...<br /><br />Novak's Aunt Queenie (Elsa Lanchester), unlike her other relatives, is a tender witch who accepts that nothing should prevent the course of true love... She aids and stimulates them in turning Novak into the woman of Stewart's dreams, for a happy ending...<br /><br />If you like to see a lightweight comedy about magic, fantasy and love; beautiful cinematography; stunning use of color; and with an exceptional cast; don't miss this enjoyable and amusing movie",Positive,Negative,0.4320881
